meter_id,1/1/2017 0:00,1/1/2017 0:30,1/1/2017 1:00,1/1/2017 1:30,1/1/2017 2:00,1/1/2017 2:30,1/1/2017 3:00,1/1/2017 3:30,1/1/2017 4:00,1/1/2017 4:30,1/1/2017 5:00,1/1/2017 5:30,1/1/2017 6:00,1/1/2017 6:30
0x9fb9287b581a8655e7c9f8e4d13efff7ede71b2b,0.152,0.152,0.152,0.152,0.28,0.258,0.167,0.252,0.164,0.133,0.143,0.153,0.153,0.13
0xd5a56752be0ff7952c24b3bfc3c8ba4829002efa,0.126,0.126,0.126,0.126,0.049,0.063,0.057,0.055,0.051,0.062,0.072,0.055,0.055,0.067
0x452a0fb924b640e247af495286685faeb1ddfaad,0.132,0.132,0.132,0.132,0.124,0.065,0.091,0.1,0.09,0.086,0.064,0.093,0.093,0.104
0x53651b34abab5fd114f46f9da80fd70c63bf9b96,0.026,0.026,0.026,0.026,0.033,0.053,0.024,0.041,0.021,0.025,0.031,0.079,0.079,0.01
0x92de68bf2f1335c4481687596c4445b14cba9759,0.199,0.199,0.199,0.199,0.162,0.1,0.118,0.112,0.109,0.113,0.216,0.168,0.168,0.122
0x46dae2eead7af80bd0f4ee735ce99962c0b0152a,0.197,0.197,0.197,0.197,0.138,0.109,0.158,0.19,0.158,0.188,0.166,0.16,0.16,0.134
0xddecc1ca1c14afe30c88890c8afc31bf7bcb6cb7,0.126,0.126,0.126,0.126,0.138,0.109,0.119,0.111,0.139,0.151,0.128,0.039,0.039,0.145
0x82850a359cd131794b29d2c8e46a3de4a6272ace,0.027,0.027,0.027,0.027,0.025,0.029,0.026,0.024,0.023,0.027,0.027,0.027,0.027,0.026
0xe23ac37ef224dfdbb8161cf80f190357f7ce8669,0.307,0.307,0.307,0.307,0.334,0.495,0.437,1.163,0.622,0.724,0.366,0.345,0.345,0.444
0xb3c2bcce1af2f3542aabd76fbcb03539c395a614,0.065,0.065,0.065,0.065,0.089,0.064,0.064,0.066,0.074,0.076,0.062,0.065,0.065,0.055
0x748c2e142a94832f93035ed702870846c56af22d,0.099,0.099,0.099,0.099,0.094,0.084,0.089,0.093,0.083,0.094,0.125,0.132,0.132,0.091
0xbcaa2f5feb0894816a48e34a0c9017badc8273ba,0.036,0.036,0.036,0.036,0.347,0.28,0.282,0.278,0.247,0.338,0.339,0.301,0.301,0.33
0xc6068823458374fd03b1580361363f5d7044fa52,0.012,0.012,0.012,0.012,0.149,0.053,0.081,0.091,0.096,0.048,0.165,0.149,0.149,0.197
0x123e73106694e571ae2beb4d723e94626a4c5128,0.128,0.128,0.128,0.128,0.124,0.089,0.102,0.208,0.186,0.225,0.075,0.096,0.096,0.131
0x8641d61573faed0a4faa46da35e1a51f8e54a139,0.242,0.242,0.242,0.242,0.308,0.08,0.096,0.092,0.089,0.13,0.184,0.131,0.131,0.178
